ETNT Article-focused template:,,,,,,,,,,
 https://docs.google.com/a/galvanized.com/document/d/1QOjKruOSN_9ADKvfl7eKSEyVikarBIQLfEV5FMkK8Qk/edit,,,,,,,,,,
ETNT Main-story focused template: ,,,,,,,,,,
https://docs.google.com/a/galvanized.com/document/d/1fZy39nrUd_4qbecB1hbckphDuonQLNhmBXoH2A81J6s/edit,,,,,,,,,,
Promo template: ,,,,,,,,,,
https://docs.google.com/document/d/1ACfRvnZX1CBly-w_TvvWi2roq97Fbw_o8wMzfx8ut6c/edit,,,,,,,,,,
DE preview (new issue),,,,,,,,,,
https://docs.google.com/document/d/1-puBVxbgIcazCEv53y3uOwDdBg5ViDgF8YYktJSQhZE/edit,,,,,,,,,,
NOTES,,,,,,,,,,
No.,List,Pickup?,Due,Releases,Day,Design,Content,Promo,Who,Status/ Comments
674,ETNT,,Fri,9/6/2016,Tue,,,,DM,Holiday - Labor Day
675,ETNT,,Tue,9/7/2016,Wed,,,,DM,
676,ETNT,,Wed,9/8/2016,Thu,,,,DM,
677,ETNT,,Thu,9/9/2016,Fri,,,,DM,
678,ETNT,,Thu,9/10/2016,Sat,,,,DM,
679,ETNT,,Thu,9/11/2016,Sun,,,,DM,
680,ETNT,,Fri,9/12/2016,Mon,,,,DM,
681,ZBD,,Wed,9/12/2016,Mon,,,,JP,
682,ETNT,,Mon,9/13/2016,Tue,,,,DM,
683,ETNT,,Tue,9/14/2016,Wed,,,,DM,
684,ETNT,,Wed,9/15/2016,Thu,,,,DM,
685,ETNT,,Thu,9/16/2016,Fri,,,,DM,
686,ETNT,,Thu,9/17/2016,Sat,,,,DM,
687,ETNT,,Thu,9/18/2016,Sun,,,,DM,
688,ETNT,,Fri,9/19/2016,Mon,,,,DM,
689,ZBD,,Wed,9/19/2016,Mon,,,,JP,
690,ETNT,,Mon,9/20/2016,Tue,,,,DM,
691,ETNT,,Tue,9/21/2016,Wed,,,,DM,
692,ETNT,,Wed,9/22/2016,Thu,,,,DM,
693,ETNT,,Thu,9/23/2016,Fri,,,,DM,
694,ETNT,,Thu,9/24/2016,Sat,,,,DM,
695,ETNT,,Thu,9/25/2016,Sun,,,,DM,
696,ETNT,,Fri,9/26/2016,Mon,,,,DM,
697,ZBD,,Wed,9/26/2016,Mon,,,,JP,
698,ETNT,,Mon,9/27/2016,Tue,,,,DM,
699,ETNT,,Tue,9/28/2016,Wed,,,,DM,
700,ETNT,,Wed,9/29/2016,Thu,,,,DM,
701,ETNT,,Thu,9/30/2016,Fri,,,,DM,
702,ETNT,,Thu,10/1/2016,Sat,,,,DM,
703,ETNT,,Thu,10/2/2016,Sun,,,,DM,
704,ETNT,,Fri,10/3/2016,Mon,,,,DM,
705,ZBD,,Wed,10/3/2016,Mon,,,,JP,
706,ETNT,,Mon,10/4/2016,Tue,,,,DM,
707,ETNT,,Tue,10/5/2016,Wed,,,,DM,
708,ETNT,,Wed,10/6/2016,Thu,,,,DM,
709,ETNT,,Thu,10/7/2016,Fri,,,,DM,
710,ETNT,,Thu,10/8/2016,Sat,,,,DM,
711,ETNT,,Thu,10/9/2016,Sun,,,,DM,
712,ETNT,,Fri,10/10/2016,Mon,,,,DM,
713,ZBD,,Wed,10/10/2016,Mon,,,,JP,
714,ETNT,,Mon,10/11/2016,Tue,,,,DM,
715,ETNT,,Tue,10/12/2016,Wed,,,,DM,
716,ETNT,,Wed,10/13/2016,Thu,,,,DM,
717,ETNT,,Thu,10/14/2016,Fri,,,,DM,
718,ETNT,,Thu,10/15/2016,Sat,,,,DM,
719,ETNT,,Thu,10/16/2016,Sun,,,,DM,
720,ETNT,,Fri,10/17/2016,Mon,,,,DM,
721,ZBD,,Wed,10/17/2016,Mon,,,,JP,
722,ETNT,,Mon,10/18/2016,Tue,,,,DM,
723,ETNT,,Tue,10/19/2016,Wed,,,,DM,
724,ETNT,,Wed,10/20/2016,Thu,,,,DM,
725,ETNT,,Thu,10/21/2016,Fri,,,,DM,
726,ETNT,,Thu,10/22/2016,Sat,,,,DM,
727,ETNT,,Thu,10/23/2016,Sun,,,,DM,
728,ETNT,,Fri,10/24/2016,Mon,,,,DM,
729,ZBD,,Wed,10/24/2016,Mon,,,,JP,
730,ETNT,,Mon,10/25/2016,Tue,,,,DM,
731,ETNT,,Tue,10/26/2016,Wed,,,,DM,
732,ETNT,,Wed,10/27/2016,Thu,,,,DM,
733,ETNT,,Thu,10/28/2016,Fri,,,,DM,
734,ETNT,,Thu,10/29/2016,Sat,,,,DM,
735,ETNT,,Thu,10/30/2016,Sun,,,,DM,
736,ETNT,,Fri,10/31/2016,Mon,,,,DM,
737,ZBD,,Wed,10/31/2016,Mon,,,,JP,
738,ETNT,,Mon,11/1/2016,Tue,,,,DM,
739,ETNT,,Tue,11/2/2016,Wed,,,,DM,
740,ETNT,,Wed,11/3/2016,Thu,,,,DM,
741,ETNT,,Thu,11/4/2016,Fri,,,,DM,
742,ETNT,,Thu,11/5/2016,Sat,,,,DM,
743,ETNT,,Thu,11/6/2016,Sun,,,,DM,
744,ETNT,,Fri,11/7/2016,Mon,,,,DM,
745,ZBD,,Wed,11/7/2016,Mon,,,,JP,
746,ETNT,,Mon,11/8/2016,Tue,,,,DM,
747,ETNT,,Tue,11/9/2016,Wed,,,,DM,
748,ETNT,,Wed,11/10/2016,Thu,,,,DM,
749,ETNT,,Thu,11/11/2016,Fri,,,,DM,Holiday - Veteran's Day
750,ETNT,,Thu,11/12/2016,Sat,,,,DM,
751,ETNT,,Thu,11/13/2016,Sun,,,,DM,
752,ETNT,,Fri,11/14/2016,Mon,,,,DM,
753,ZBD,,Wed,11/14/2016,Mon,,,,JP,
754,ETNT,,Mon,11/15/2016,Tue,,,,DM,
755,ETNT,,Tue,11/16/2016,Wed,,,,DM,
756,ETNT,,Wed,11/17/2016,Thu,,,,DM,
757,ETNT,,Thu,11/18/2016,Fri,,,,DM,
758,ETNT,,Thu,11/19/2016,Sat,,,,DM,
759,ETNT,,Thu,11/20/2016,Sun,,,,DM,
760,ETNT,,Fri,11/21/2016,Mon,,,,DM,
761,ZBD,,Wed,11/21/2016,Mon,,,,JP,
762,ETNT,,Mon,11/22/2016,Tue,,,,DM,
763,ETNT,,Tue,11/23/2016,Wed,,,,DM,
764,ETNT,,Wed,11/24/2016,Thu,,,,DM,Holiday - Thanksgiving
765,ETNT,,Thu,11/25/2016,Fri,,,,DM,
766,ETNT,,Thu,11/26/2016,Sat,,,,DM,
767,ETNT,,Thu,11/27/2016,Sun,,,,DM,
768,ETNT,,Fri,11/28/2016,Mon,,,,DM,
769,ZBD,,Wed,11/28/2016,Mon,,,,JP,
770,ETNT,,Mon,11/29/2016,Tue,,,,DM,
771,ETNT,,Tue,11/30/2016,Wed,,,,DM,
772,ETNT,,Wed,12/1/2016,Thu,,,,DM,
773,ETNT,,Thu,12/2/2016,Fri,,,,DM,
774,ETNT,,Thu,12/3/2016,Sat,,,,DM,
775,ETNT,,Thu,12/4/2016,Sun,,,,DM,
776,ETNT,,Fri,12/5/2016,Mon,,,,DM,
777,ZBD,,Wed,12/5/2016,Mon,,,,JP,
778,ETNT,,Mon,12/6/2016,Tue,,,,DM,
779,ETNT,,Tue,12/7/2016,Wed,,,,DM,
780,ETNT,,Wed,12/8/2016,Thu,,,,DM,
781,ETNT,,Thu,12/9/2016,Fri,,,,DM,
782,ETNT,,Thu,12/10/2016,Sat,,,,DM,
783,ETNT,,Thu,12/11/2016,Sun,,,,DM,
784,ETNT,,Fri,12/12/2016,Mon,,,,DM,
785,ZBD,,Wed,12/12/2016,Mon,,,,JP,
786,ETNT,,Mon,12/13/2016,Tue,,,,DM,
787,ETNT,,Tue,12/14/2016,Wed,,,,DM,
788,ETNT,,Wed,12/15/2016,Thu,,,,DM,
789,ETNT,,Thu,12/16/2016,Fri,,,,DM,
790,ETNT,,Thu,12/17/2016,Sat,,,,DM,
791,ETNT,,Thu,12/18/2016,Sun,,,,DM,
792,ETNT,,Fri,12/19/2016,Mon,,,,DM,
793,ZBD,,Wed,12/19/2016,Mon,,,,JP,
794,ETNT,,Mon,12/20/2016,Tue,,,,DM,
795,ETNT,,Tue,12/21/2016,Wed,,,,DM,
796,ETNT,,Wed,12/22/2016,Thu,,,,DM,
797,ETNT,,Wed,12/23/2016,Fri,,,,DM,Moved for Christmas
798,ETNT,,Thu,12/24/2016,Sat,,,,DM,
799,ETNT,,Thu,12/25/2016,Sun,,,,DM,
800,ETNT,,Thu,12/26/2016,Mon,,,,DM,Moved for Christmas
801,ZBD,,Wed,12/26/2016,Mon,,,,JP,
802,ETNT,,Fri,12/27/2016,Tue,,,,DM,Holiday - Christmas Day (Observed)
803,ETNT,,Tue,12/28/2016,Wed,,,,DM,
804,ETNT,,Wed,12/29/2016,Thu,,,,DM,
805,ETNT,,Wed,12/30/2016,Fri,,,,DM,Moved for New Year's Day
806,ETNT,,Thu,12/31/2016,Sat,,,,DM,
807,ETNT,,Thu,1/1/2017,Sun,,,,DM,
808,ETNT,,Thu,1/2/2017,Mon,,,,DM,Moved for New Year's Day
809,ZBD,,Wed,1/2/2017,Mon,,,,JP,
